engine_id,cycle,RUL,sequence_idx
8,149,1,1479
23,113,55,4010
38,32,162,6245
78,179,52,13439
21,100,95,3658
43,152,55,7142
9,132,69,1583
100,182,18,17712
33,83,117,5537
72,34,179,12283
32,146,45,5438
39,120,8,6498
7,252,7,1352
59,153,78,9980
7,82,177,1182
45,157,1,7488
37,151,19,6223
87,168,10,15262
26,191,8,4546
18,50,145,3108
46,238,18,7698
34,189,6,5814
73,177,36,12610
54,128,129,9091
76,76,134,13030
74,81,85,12698
9,57,144,1508
17,61,215,2872
5,116,153,817
59,148,83,9975
31,178,56,5265
92,160,181,16006
78,185,46,13445
62,176,4,10504
52,205,8,8818
87,56,122,15150
20,85,149,3438
1,71,121,41
83,66,227,14250
43,80,127,7070
82,184,30,14183
81,205,35,13993
23,143,25,4040
97,109,93,17183
48,49,182,7921
31,195,39,5282
83,200,93,14384
71,172,36,12242
93,70,85,16228
51,79,134,8508
81,74,166,13862
10,88,134,1711
20,92,142,3445
48,227,4,8099
71,141,67,12211
5,233,36,934
67,40,273,11215
48,162,69,8034
52,50,163,8663
61,70,115,10242
86,267,11,15112
15,125,82,2578
56,113,162,9468
69,308,54,11937
87,54,124,15148
59,209,22,10036
87,116,62,15210
1,64,128,34
38,102,92,6315
13,78,85,2246
74,93,73,12710
90,142,12,15757
7,154,105,1254
92,330,11,16176
84,164,103,14612
36,123,35,6066
51,88,125,8517
41,142,74,6778
12,95,75,2122
16,42,167,2673
64,78,205,10702
68,152,47,11611
69,70,292,11699
95,278,5,16791
9,65,136,1516
75,158,71,12912
69,45,317,11674
89,94,123,15521
46,132,124,7592
26,52,147,4407
78,140,91,13400
49,143,72,8217
91,66,69,15806
84,95,172,14543
2,204,83,337
57,136,1,9737
96,152,184,16919
67,162,151,11337
14,42,138,2344
73,76,137,12509
50,94,104,8354
85,137,51,14823
79,118,81,13580
49,144,71,8218
97,104,98,17178
82,107,107,14106
78,38,193,13298
64,244,39,10868
98,112,44,17359
38,98,96,6311
69,357,5,11986
30,176,18,5098
8,103,47,1433
18,107,88,3165
72,86,127,12335
43,45,162,7035
2,252,35,385
86,67,211,14912
54,71,186,9034
1,63,129,33
64,162,121,10786
45,72,86,7403
92,136,205,15982
2,178,109,311
2,201,86,334
70,50,87,12012
39,66,62,6444
7,39,220,1139
7,203,56,1303
67,142,171,11317
72,43,170,12292
54,222,35,9185
74,139,27,12756
73,60,153,12493
92,31,310,15877
46,240,16,7700
96,298,38,17065
95,88,195,16601
34,133,62,5758
76,55,155,13009
18,43,152,3101
93,142,13,16300
53,57,138,8854
98,142,14,17389
68,183,16,11642
96,163,173,16930
98,86,70,17333
10,122,100,1745
94,210,48,16494
100,120,80,17650
74,112,54,12729
44,81,111,7249
9,192,9,1643
49,71,144,8145
17,163,113,2974
23,98,70,3995
9,125,76,1576
6,83,105,1024
50,150,48,8410
54,161,96,9124
21,181,14,3739
100,170,30,17700
72,176,37,12425
17,95,181,2906
55,182,11,9373
67,211,102,11386
49,55,160,8129
76,144,66,13098
92,301,40,16147
18,126,69,3184
26,193,6,4548
13,84,79,2252
79,151,48,13613
47,30,184,7717
55,47,146,9238
67,102,211,11277
25,142,88,4296
29,48,115,4836
80,38,147,13670
58,144,3,9853
31,59,175,5146
6,52,136,993
25,92,138,4246
57,59,78,9660
96,67,269,16834
61,68,117,10240
32,71,120,5363
33,50,150,5504
35,112,69,5903
93,147,8,16305
65,140,13,11018
34,118,77,5743
71,154,54,12224
86,255,23,15100
5,128,141,829
91,39,96,15779
8,65,85,1395
14,55,125,2357
3,177,2,568
29,86,77,4874
43,84,123,7074
59,205,26,10032
1,61,131,31
33,110,90,5564
1,151,41,121
98,77,79,17324
9,160,41,1611
66,191,11,11193
89,48,169,15475
39,100,28,6478
52,210,3,8823
56,61,214,9416
79,164,35,13626
12,97,73,2124
59,118,113,9945
91,78,57,15818
25,184,46,4338
81,112,128,13900
5,31,238,732
96,212,124,16979
72,183,30,12432
62,132,48,10460
22,39,163,3763
1,109,83,79
28,56,109,4708
56,264,11,9619
2,277,10,410
85,81,107,14767
2,200,87,333
73,97,116,12530
6,143,45,1084
46,216,40,7676
38,94,100,6307
37,109,61,6181
45,122,36,7453
31,68,166,5155
96,131,205,16898
28,93,72,4745
12,161,9,2188
62,95,85,10423
25,102,128,4256
26,58,141,4413
33,199,1,5653
31,158,76,5245
47,171,43,7858
81,81,159,13869
12,54,116,2081
83,72,221,14256
79,105,94,13567
1,187,5,157
66,158,44,11160
59,154,77,9981
53,116,79,8913
81,235,5,14023
31,83,151,5170
61,174,11,10346
95,247,36,16760
2,81,206,214
9,33,168,1484
11,227,13,2043
4,164,25,705
69,118,244,11747
84,241,26,14689
18,96,99,3154
38,186,8,6399
48,194,37,8066
5,252,17,953
67,252,61,11427
47,207,7,7894
32,129,62,5421
2,263,24,396
40,67,121,6544
64,90,193,10714
26,45,154,4400
53,36,159,8833
34,124,71,5749
99,103,82,17477
15,83,124,2536
25,190,40,4344
88,210,3,15453
42,63,133,6886
47,85,129,7772
53,137,58,8934
92,234,107,16080
81,188,52,13976
56,32,243,9387
9,77,124,1528
26,106,93,4461
11,204,36,2020
50,147,51,8407
37,79,91,6151
49,198,17,8272
10,39,183,1662
3,64,115,455
25,126,104,4280
52,178,35,8791
95,242,41,16755
72,148,65,12397
64,253,30,10877
46,165,91,7625
25,91,139,4245
24,33,114,4069
4,110,79,651
84,96,171,14544
62,173,7,10501
43,167,40,7157
17,205,71,3016
99,167,18,17541
64,139,144,10763
51,145,68,8574
38,180,14,6393
87,161,17,15255
29,92,71,4880
32,65,126,5357
25,49,181,4203
100,156,44,17686
84,267,0,14715
24,61,86,4097
69,111,251,11740
84,91,176,14539
21,88,107,3646
69,237,125,11866
96,246,90,17013
63,153,21,10632
2,40,247,173
22,45,157,3769
64,260,23,10884
80,151,34,13783
2,202,85,335
83,123,170,14307
67,166,147,11341
12,106,64,2133
52,97,116,8710
76,174,36,13128
2,266,21,399
30,71,123,4993
5,48,221,749
4,70,119,611
82,157,57,14156
31,207,27,5294
34,96,99,5721
48,200,31,8072
53,160,35,8957
33,156,44,5610
85,55,133,14741
17,276,0,3087
64,47,236,10671
96,137,199,16904
31,149,85,5236
18,129,66,3187
48,58,173,7930
33,158,42,5612
33,54,146,5508
62,151,29,10479
87,76,102,15170
98,101,55,17348
72,123,90,12372
69,224,138,11853
37,77,93,6149
96,106,230,16873
88,64,149,15307
84,136,131,14584
56,240,35,9595
92,39,302,15885
9,111,90,1562
95,236,47,16749
88,150,63,15393
99,34,151,17408
16,124,85,2755
80,34,151,13666
16,63,146,2694
51,191,22,8620
93,49,106,16207
31,46,188,5133
30,55,139,4977
80,131,54,13763
54,96,161,9059
50,98,100,8358
78,128,103,13388
90,58,96,15673
92,150,191,15996
61,96,89,10268
40,55,133,6532
41,46,170,6682
13,45,118,2213
90,114,40,15729
67,244,69,11419
38,80,114,6293
81,78,162,13866
53,153,42,8950
14,46,134,2348
51,199,14,8628
50,194,4,8454
59,172,59,9999
73,87,126,12520
67,129,184,11304
53,48,147,8845
40,153,35,6630
37,136,34,6208
70,33,104,11995
99,108,77,17482
56,230,45,9585
95,166,117,16679
59,119,112,9946
16,52,157,2683
30,190,4,5112
81,109,131,13897
69,361,1,11990
92,94,247,15940
92,322,19,16168
60,127,45,10156
29,55,108,4843
71,73,135,12143
9,70,131,1521
52,155,58,8768
30,124,70,5046
75,131,98,12885
92,162,179,16008
90,67,87,15682
30,58,136,4980
93,145,10,16303
80,116,69,13748
22,181,21,3905
56,268,7,9623
68,113,86,11572
10,52,170,1675
44,135,57,7303
59,112,119,9939
50,197,1,8457
32,47,144,5339
11,240,0,2056
75,92,137,12846
96,94,242,16861
49,139,76,8213
75,34,195,12788
35,146,35,5937
58,36,111,9745
76,91,119,13045
97,170,32,17244
94,204,54,16488
94,114,144,16398
82,133,81,14132
34,192,3,5817
35,132,49,5923
19,92,66,3316
30,136,58,5058
48,159,72,8031
38,47,147,6260
57,106,31,9707
88,76,137,15319
9,164,37,1615
29,60,103,4848
32,166,25,5458
23,76,92,3973
39,84,44,6462
9,147,54,1598
95,119,164,16632
50,84,114,8344
10,180,42,1803
48,40,191,7912
47,197,17,7884
45,156,2,7487
78,94,137,13354
25,213,17,4367
97,141,61,17215
10,109,113,1732
49,75,140,8149
5,71,198,772
96,295,41,17062
33,81,119,5535
63,141,33,10620
26,170,29,4525
2,261,26,394
80,152,33,13784
15,142,65,2595
81,49,191,13837
61,109,76,10281
67,245,68,11420
36,47,111,5990
11,213,27,2029
48,163,68,8035
12,30,140,2057
67,225,88,11400
65,129,24,11007
25,83,147,4237
64,154,129,10778
50,143,55,8403
37,69,101,6141
67,38,275,11213
5,170,99,871
16,185,24,2816
67,289,24,11464
83,277,16,14461
46,244,12,7704
52,152,61,8765
24,62,85,4098
59,140,91,9967
31,94,140,5181
94,257,1,16541
41,123,93,6759
99,135,50,17509
97,198,4,17272
13,120,43,2288
78,32,199,13292
43,54,153,7044
35,152,29,5943
71,200,8,12270
17,214,62,3025
23,160,8,4057
49,96,119,8170
90,43,111,15658
2,142,145,275
58,101,46,9810
20,223,11,3576
93,121,34,16279
72,103,110,12352
21,120,75,3678
77,69,85,13204
50,115,83,8375
37,108,62,6180
1,50,142,20
86,236,42,15081
88,114,99,15357
50,161,37,8421
11,35,205,1851
24,103,44,4139
14,171,9,2473
83,100,193,14284
11,106,134,1922
100,90,110,17620
50,100,98,8360
54,103,154,9066
86,116,162,14961
14,40,140,2342
100,34,166,17564
74,108,58,12725
42,133,63,6956
33,169,31,5623
53,139,56,8936
48,174,57,8046
89,202,15,15629
97,106,96,17180
24,94,53,4130
93,135,20,16293
81,104,136,13892
7,117,142,1217
39,39,89,6417
69,350,12,11979
43,88,119,7078
69,210,152,11839
84,128,139,14576
11,138,102,1954
45,146,12,7477
10,117,105,1740
97,157,45,17231
3,66,113,457
46,81,175,7541
61,89,96,10261
67,191,122,11366
56,198,77,9553
100,72,128,17602
1,93,99,63
43,169,38,7159
82,172,42,14171
27,154,2,4679
32,134,57,5426
27,85,71,4610
48,35,196,7907
41,56,160,6692
63,160,14,10639
8,124,26,1454
49,57,158,8131
95,94,189,16607
84,126,141,14574
72,168,45,12417
93,78,77,16236
10,194,28,1817
95,35,248,16548
1,91,101,61
18,40,155,3098
87,67,111,15161
33,46,154,5500
95,223,60,16736
4,92,97,633
11,107,133,1923
38,88,106,6301
83,70,223,14254
100,171,29,17701
63,40,134,10519
62,92,88,10420
86,122,156,14967
62,103,77,10431
18,89,106,3147
47,165,49,7852
61,102,83,10274
72,71,142,12320
66,189,13,11191
67,141,172,11316
91,38,97,15778
81,152,88,13940
24,133,14,4169
2,274,13,407
44,165,27,7333
36,119,39,6062
47,122,92,7809
9,172,29,1623
9,144,57,1595
98,156,0,17403
69,230,132,11859
2,37,250,170
17,71,205,2882
18,147,48,3205
30,77,117,4999
34,177,18,5802
60,42,130,10071
70,76,61,12038
55,73,120,9264
66,65,137,11067
100,103,97,17633
61,129,56,10301
8,55,95,1385
95,84,199,16597
4,142,47,683
50,39,159,8299
73,94,119,12527
70,122,15,12084
46,139,117,7599
44,130,62,7298
76,130,80,13084
49,66,149,8140
98,124,32,17371
5,99,170,800
5,46,223,747
23,132,36,4029
67,37,276,11212
94,69,189,16353
13,38,125,2206
51,200,13,8629
47,124,90,7811
4,49,140,590
69,275,87,11904
21,131,64,3689
9,40,161,1491
73,98,115,12531
60,165,7,10194
86,147,131,14992
8,75,75,1405
5,261,8,962
92,129,212,15975
54,85,172,9048
83,228,65,14412
38,160,34,6373
57,110,27,9711
81,226,14,14014
84,201,66,14649
19,62,96,3286
77,122,32,13257
61,151,34,10323
75,138,91,12892
66,58,144,11060
70,124,13,12086
73,107,106,12540
79,84,115,13546
74,141,25,12758
72,205,8,12454
56,96,179,9451
93,103,52,16261
74,152,14,12769
38,77,117,6290
32,142,49,5434
59,149,82,9976
80,76,109,13708
19,101,57,3325
30,116,78,5038
90,72,82,15687
54,53,204,9016
79,46,153,13508
99,165,20,17539
74,130,36,12747
92,232,109,16078
42,51,145,6874
9,161,40,1612
29,44,119,4832
97,38,164,17112
55,169,24,9360
52,44,169,8657
50,35,163,8295
37,32,138,6104
80,167,18,13799
29,78,85,4866
60,100,72,10129
28,136,29,4788
79,193,6,13655
80,68,117,13700
64,279,4,10903
10,121,101,1744
84,192,75,14640
10,199,23,1822
5,110,159,811
5,167,102,868
86,133,145,14978
97,202,0,17276
99,173,12,17547
19,56,102,3280
87,94,84,15188
73,187,26,12620
84,32,235,14480
47,106,108,7793
80,104,81,13736
32,99,92,5391
88,52,161,15295
20,171,63,3524
70,96,41,12058
32,126,65,5418
74,46,120,12663
99,104,81,17478
15,105,102,2558
10,221,1,1844
26,164,35,4519
80,53,132,13685
71,124,84,12194
54,127,130,9090
48,44,187,7916
29,117,46,4905
23,147,21,4044
55,149,44,9340
79,194,5,13656
78,87,144,13347
26,118,81,4473
19,148,10,3372
41,172,44,6808
50,70,128,8330
21,76,119,3634
63,169,5,10648
10,120,102,1743
41,143,73,6779
79,139,60,13601
20,164,70,3517
94,182,76,16466
75,145,84,12899
40,109,79,6586
52,91,122,8704
77,56,98,13191
20,43,191,3396
68,144,55,11603
3,129,50,520
47,133,81,7820
1,161,31,131
37,130,40,6202
95,129,154,16642
88,143,70,15386
86,171,107,15016
78,154,77,13414
96,265,71,17032
59,121,110,9948
81,54,186,13842
11,163,77,1979
31,85,149,5172
43,50,157,7040
80,85,100,13717
96,293,43,17060
88,45,168,15288
80,179,6,13811
21,39,156,3597
13,33,130,2201
29,108,55,4896
9,128,73,1579
26,43,156,4398
92,65,276,15911
33,151,49,5605
57,75,62,9676
52,109,104,8722
30,59,135,4981
86,149,129,14994
35,117,64,5908
82,188,26,14187
43,149,58,7139
50,88,110,8348
61,136,49,10308
75,219,10,12973
16,138,71,2769
2,255,32,388
11,137,103,1953
59,91,140,9918
90,138,16,15753
2,182,105,315
11,188,52,2004
31,107,127,5194
2,280,7,413
86,127,151,14972
94,111,147,16395
20,30,204,3383
60,56,116,10085
4,64,125,605
1,45,147,15
53,80,115,8877
62,65,115,10393
17,238,38,3049
23,55,113,3952
2,176,111,309
9,32,169,1483
7,153,106,1253
36,78,80,6021
36,107,51,6050
53,165,30,8962
55,31,162,9222
15,64,143,2517
96,108,228,16875
75,142,87,12896
69,104,258,11733
12,101,69,2128
4,161,28,702
11,131,109,1947
90,69,85,15684
22,118,84,3842
28,86,79,4738
83,158,135,14342
6,170,18,1111
84,224,43,14672
11,88,152,1904
28,137,28,4789
4,96,93,637
2,115,172,248
14,104,76,2406
95,127,156,16640
4,155,34,696
95,239,44,16752
42,64,132,6887
86,39,239,14884
48,141,90,8013
13,60,103,2228
67,179,134,11354
44,115,77,7283
1,100,92,70
65,91,62,10969
7,78,181,1178
27,142,14,4667
57,116,21,9717
87,86,92,15180
11,75,165,1891
87,68,110,15162
68,93,106,11552
95,257,26,16770
83,245,48,14429
84,187,80,14635
69,212,150,11841
12,62,108,2089
95,233,50,16746
74,97,69,12714
25,37,193,4191
100,162,38,17692
17,146,130,2957
89,50,167,15477
31,163,71,5250
84,110,157,14558
47,60,154,7747
6,142,46,1083
47,48,166,7735
17,42,234,2853
77,68,86,13203
94,222,36,16506
40,41,147,6518
84,138,129,14586
5,243,26,944
91,67,68,15807
72,127,86,12376
48,153,78,8025
98,120,36,17367
75,90,139,12844
79,60,139,13522
19,104,54,3328
79,172,27,13634
86,245,33,15090
81,174,66,13962
2,234,53,367
62,180,0,10508
92,122,219,15968
61,33,152,10205
74,114,52,12731
7,52,207,1152
38,172,22,6385
52,183,30,8796
25,159,71,4313
81,73,167,13861
72,136,77,12385
45,44,114,7375
82,167,47,14166
11,196,44,2012
15,162,45,2615
86,174,104,15019
32,89,102,5381
58,109,38,9818
85,162,26,14848
66,90,112,11092
2,51,236,184
34,77,118,5702
66,144,58,11146
99,105,80,17479
56,170,105,9525
69,328,34,11957
87,110,68,15204
46,103,153,7563
34,136,59,5761
87,91,87,15185
50,112,86,8372
94,141,117,16425
65,121,32,10999
4,51,138,592
34,89,106,5714
85,64,124,14750
83,287,6,14471
6,87,101,1028
99,109,76,17483
22,201,1,3925
79,129,70,13591
65,47,106,10925
3,147,32,538
37,36,134,6108
29,34,129,4822
40,95,93,6572
67,214,99,11389
71,87,121,12157
50,148,50,8408
90,154,0,15769
37,84,86,6156
13,142,21,2310
37,56,114,6128
33,159,41,5613
84,186,81,14634
57,95,42,9696
20,102,132,3455
33,59,141,5513
93,82,73,16240
76,104,106,13058
47,174,40,7861
41,181,35,6817
51,190,23,8619
62,138,42,10466
24,126,21,4162
10,142,80,1765
52,62,151,8675
26,181,18,4536
69,337,25,11966
84,210,57,14658
44,137,55,7305
83,202,91,14386
3,74,105,465
88,186,27,15429
7,97,162,1197
25,55,175,4209
38,138,56,6351
30,32,162,4954
84,232,35,14680
32,115,76,5407
46,194,62,7654
52,119,94,8732
15,78,129,2531
82,155,59,14154
62,91,89,10419
23,106,62,4003
59,183,48,10010
36,80,78,6023
88,129,84,15372
11,203,37,2019
49,182,33,8256
61,114,71,10286
31,70,164,5157
59,36,195,9863
64,171,112,10795
24,75,72,4111
73,53,160,12486
26,131,68,4486
11,129,111,1945
85,170,18,14856
68,120,79,11579
15,117,90,2570
34,190,5,5815
47,115,99,7802
67,171,142,11346
96,304,32,17071
43,192,15,7182
37,129,41,6201
59,50,181,9877
26,100,99,4455
91,89,46,15829
19,59,99,3283
80,159,26,13791
42,116,80,6939
33,91,109,5545
69,140,222,11769
44,82,110,7250
57,67,70,9668
59,54,177,9881
94,65,193,16349
14,150,30,2452
7,137,122,1237
98,96,60,17343
12,33,137,2060
46,223,33,7683
19,83,75,3307
82,146,68,14145
63,133,41,10612
1,163,29,133
28,155,10,4807
92,216,125,16062
2,275,12,408
71,196,12,12266
30,90,104,5012
84,131,136,14579
12,31,139,2058
35,95,86,5886
46,192,64,7652
40,40,148,6517
16,133,76,2764
43,142,65,7132
69,73,289,11702
95,37,246,16550
28,64,101,4716
13,47,116,2215
56,275,0,9630
17,234,42,3045
72,62,151,12311
9,31,170,1482
96,51,285,16818
59,32,199,9859
17,132,144,2943
92,329,12,16175
32,139,52,5431
47,175,39,7862
32,122,69,5414
77,46,108,13181
55,112,81,9303
15,95,112,2548
76,152,58,13106
58,130,17,9839
69,261,101,11890
74,102,64,12719
20,116,118,3469
69,196,166,11825
62,108,72,10436
46,102,154,7562
92,144,197,15990
23,167,1,4064
80,109,76,13741
11,42,198,1858
51,31,182,8460
62,88,92,10416
25,189,41,4343
95,36,247,16549
29,160,3,4948
19,131,27,3355
88,147,66,15390
23,133,35,4030
84,153,114,14601
42,171,25,6994
40,38,150,6515
61,128,57,10300
42,98,98,6921
76,141,69,13095
6,116,72,1057
96,69,267,16836
89,162,55,15589
51,208,5,8637
67,49,264,11224
5,171,98,872
55,43,150,9234
23,118,50,4015
25,77,153,4231
62,35,145,10363
89,54,163,15481
37,47,123,6119
20,139,95,3492
47,191,23,7878
78,80,151,13340
100,163,37,17693
99,128,57,17502
62,45,135,10373
11,108,132,1924
99,70,115,17444
47,75,139,7762
7,251,8,1351
69,103,259,11732
96,198,138,16965
5,165,104,866
19,120,38,3344
25,147,83,4301
69,99,263,11728
20,180,54,3533
14,147,33,2449
84,145,122,14593
36,152,6,6095
2,127,160,260
37,133,37,6205
46,203,53,7663
46,212,44,7672
84,60,207,14508
88,58,155,15301
73,70,143,12503
39,106,22,6484
13,41,122,2209
5,132,137,833
92,335,6,16181
85,88,100,14774
94,83,175,16367
56,104,171,9459
41,78,138,6714
5,197,72,898
85,96,92,14782
14,115,65,2417
67,44,269,11219
27,151,5,4676
17,110,166,2921
82,202,12,14201
13,81,82,2249
78,61,170,13321
42,61,135,6884
33,184,16,5638
47,107,107,7794
50,72,126,8332
86,199,79,15044
14,157,23,2459
53,117,78,8914
3,38,141,429
17,155,121,2966
65,56,97,10934
38,121,73,6334
69,144,218,11773
69,64,298,11693
42,40,156,6863
87,95,83,15189
88,72,141,15315
89,187,30,15614
100,136,64,17666
79,127,72,13589
41,52,164,6688
86,140,138,14985
55,193,0,9384
48,116,115,7988
66,41,161,11043
50,146,52,8406
54,31,226,8994
26,40,159,4395
17,92,184,2903
64,249,34,10873
79,154,45,13616
54,162,95,9125
41,206,10,6842
80,99,86,13731
65,147,6,11025
92,198,143,16044
49,79,136,8153
10,33,189,1656
15,175,32,2628
86,153,125,14998
92,197,144,16043
29,142,21,4930
82,145,69,14144
30,41,153,4963
10,63,159,1686
22,157,45,3881
73,80,133,12513
25,61,169,4215
64,153,130,10777
69,273,89,11902
19,98,60,3322
10,100,122,1723
66,42,160,11044
37,81,89,6153
69,218,144,11847
20,112,122,3465
56,83,192,9438
90,70,84,15685
73,131,82,12564
85,177,11,14863
92,79,262,15925
68,107,92,11566
35,169,12,5960
53,89,106,8886
54,194,63,9157
2,243,44,376
20,107,127,3460
63,34,140,10513
5,124,145,825
4,163,26,704
23,115,53,4012
15,202,5,2655
55,76,117,9267
60,170,2,10199
84,61,206,14509
79,132,67,13594
51,98,115,8527
20,89,145,3442
46,164,92,7624
2,75,212,208
14,35,145,2337
56,223,52,9578
29,84,79,4872
17,255,21,3066
80,47,138,13679
67,136,177,11311
40,173,15,6650
22,185,17,3909
62,177,3,10505
66,175,27,11177
41,182,34,6818
35,42,139,5833
11,118,122,1934
95,101,182,16614
28,42,123,4694
49,205,10,8279
16,173,36,2804
41,211,5,6847
83,286,7,14470
76,209,1,13163
3,70,109,461
65,62,91,10940
5,52,217,753
30,149,45,5071
55,167,26,9358
59,34,197,9861
42,192,4,7015
51,49,164,8478
24,93,54,4129
6,108,80,1049
87,114,64,15208
41,62,154,6698
61,147,38,10319
98,53,103,17300
67,173,140,11348
51,109,104,8538
57,78,59,9679
83,247,46,14431
47,114,100,7801
5,207,62,908
62,60,120,10388
69,123,239,11752
89,141,76,15568
31,53,181,5140
10,218,4,1841
20,35,199,3388
84,135,132,14583
24,85,62,4121
56,79,196,9434
7,101,158,1201
92,218,123,16064
1,141,51,111
92,119,222,15965
10,78,144,1701
31,74,160,5161
51,178,35,8607
49,123,92,8197
6,37,151,978
45,71,87,7402
38,119,75,6332
73,68,145,12501
82,182,32,14181
51,67,146,8496
73,134,79,12567
30,38,156,4960
86,97,181,14942
74,91,75,12708
85,175,13,14861
8,78,72,1408
80,49,136,13681
51,60,153,8489
64,263,20,10887
56,238,37,9593
20,33,201,3386
75,148,81,12902
40,35,153,6512
100,128,72,17658
27,116,40,4641
83,122,171,14306
71,58,150,12128
9,163,38,1614
95,116,167,16629
57,46,91,9647
75,127,102,12881
77,84,70,13219
100,70,130,17600
75,33,196,12787
14,64,116,2366
56,57,218,9412
83,130,163,14314
37,107,63,6179
23,99,69,3996
80,42,143,13674
29,125,38,4913
21,121,74,3679
73,176,37,12609
40,118,70,6595
37,53,117,6125
74,50,116,12667
24,70,77,4106
69,262,100,11891
31,82,152,5169
2,83,204,216
100,114,86,17644
56,35,240,9390
94,103,155,16387
66,202,0,11204
28,55,110,4707
77,107,47,13242
93,101,54,16259
33,154,46,5608
92,176,165,16022
33,35,165,5489
22,80,122,3804
67,131,182,11306
48,75,156,7947
57,90,47,9691
89,197,20,15624
89,207,10,15634
35,151,30,5942
86,222,56,15067
60,126,46,10155
97,82,120,17156
5,62,207,763
85,136,52,14822
62,171,9,10499
76,100,110,13054
51,192,21,8621
66,192,10,11194
69,67,295,11696
70,87,50,12049
97,122,80,17196
98,32,124,17279
17,102,174,2913
19,127,31,3351
14,88,92,2390
92,104,237,15950
82,33,181,14032
81,215,25,14003
96,292,44,17059
71,107,101,12177
9,170,31,1621
7,102,157,1202
65,73,80,10951
35,163,18,5954
35,47,134,5838
14,175,5,2477
92,51,290,15897
88,87,126,15330
70,72,65,12034
83,169,124,14353
42,57,139,6880
